#              X                D                V                M
    0.0000100000     1.7500000000    -0.0000070000     0.0000000000
    0.0000100904     1.7500000000    -0.0000070633     0.0000000000
    0.0000101816     1.7500000000    -0.0000071271     0.0000000000
    0.0000102736     1.7500000000    -0.0000071915     0.0000000000
    0.0000103665     1.7500000000    -0.0000072565     0.0000000000
    0.0000104602     1.7500000000    -0.0000073221     0.0000000000
    0.0000105548     1.7500000000    -0.0000073883     0.0000000000
    0.0000106502     1.7500000000    -0.0000074550     0.0000000000
    0.0000107465     1.7500000000    -0.0000075224     0.0000000000
    0.0000108436     1.7500000000    -0.0000075904     0.0000000000
    0.0000109416     1.7500000000    -0.0000076590     0.0000000000
    0.0000110405     1.7500000000    -0.0000077282     0.0000000000
    0.0000111403     1.7500000000    -0.0000077980     0.0000000000
    0.0000112410     1.7500000000    -0.0000078685     0.0000000000
    0.0000113426     1.7500000000    -0.0000079396     0.0000000000
    0.0000114452     1.7500000000    -0.0000080114     0.0000000000
    0.0000115486     1.7500000000    -0.0000080838     0.0000000000
    0.0000116530     1.7500000000    -0.0000081568     0.0000000000
    0.0000117584     1.7500000000    -0.0000082306     0.0000000000
    0.0000118647     1.7500000000    -0.0000083050     0.0000000000
    0.0000119719     1.7500000000    -0.0000083800     0.0000000000
    0.0000120801     1.7500000000    -0.0000084557     0.0000000000
    0.0000121893     1.7500000000    -0.0000085322     0.0000000000
    0.0000122995     1.7500000000    -0.0000086093     0.0000000000
    0.0000124107     1.7500000000    -0.0000086871     0.0000000000
    0.0000125229     1.7500000000    -0.0000087656     0.0000000000
    0.0000126361     1.7500000000    -0.0000088448     0.0000000000
    0.0000127503     1.7500000000    -0.0000089248     0.0000000000
    0.0000128656     1.7500000000    -0.0000090054     0.0000000000
    0.0000129819     1.7500000000    -0.0000090868     0.0000000000
    0.0000130992     1.7500000000    -0.0000091689     0.0000000000
    0.0000132176     1.7500000000    -0.0000092518     0.0000000000
    0.0000133371     1.7500000000    -0.0000093354     0.0000000000
    0.0000134576     1.7500000000    -0.0000094198     0.0000000000
    0.0000135793     1.7500000000    -0.0000095049     0.0000000000
    0.0000137020     1.7500000000    -0.0000095908     0.0000000000
    0.0000138259     1.7500000000    -0.0000096775     0.0000000000
    0.0000139509     1.7500000000    -0.0000097650     0.0000000000
    0.0000140770     1.7500000000    -0.0000098532     0.0000000000
    0.0000142042     1.7500000000    -0.0000099423     0.0000000000
    0.0000143326     1.7500000000    -0.0000100321     0.0000000000
    0.0000144622     1.7500000000    -0.0000101228     0.0000000000
    0.0000145929     1.7500000000    -0.0000102143     0.0000000000
    0.0000147248     1.7500000000    -0.0000103066     0.0000000000
    0.0000148580     1.7500000000    -0.0000103998     0.0000000000
    0.0000149923     1.7500000000    -0.0000104938     0.0000000000
    0.0000151278     1.7500000000    -0.0000105886     0.0000000000
    0.0000152645     1.7500000000    -0.0000106843     0.0000000000
    0.0000154025     1.7500000000    -0.0000107809     0.0000000000
    0.0000155417     1.7500000000    -0.0000108783     0.0000000000
    0.0000156822     1.7500000000    -0.0000109766     0.0000000000
    0.0000158240     1.7500000000    -0.0000110759     0.0000000000
    0.0000159670     1.7500000000    -0.0000111760     0.0000000000
    0.0000161114     1.7500000000    -0.0000112770     0.0000000000
    0.0000162570     1.7500000000    -0.0000113789     0.0000000000
    0.0000164040     1.7500000000    -0.0000114817     0.0000000000
    0.0000165522     1.7500000000    -0.0000115855     0.0000000000
    0.0000167019     1.7500000000    -0.0000116902     0.0000000000
    0.0000168528     1.7500000000    -0.0000117959     0.0000000000
    0.0000170052     1.7500000000    -0.0000119025     0.0000000000
    0.0000171589     1.7500000000    -0.0000120101     0.0000000000
    0.0000173140     1.7500000000    -0.0000121186     0.0000000000
    0.0000174705     1.7500000000    -0.0000122282     0.0000000000
    0.0000176284     1.7500000000    -0.0000123387     0.0000000000
    0.0000177878     1.7500000000    -0.0000124502     0.0000000000
    0.0000179486     1.7500000000    -0.0000125627     0.0000000000
    0.0000181108     1.7500000000    -0.0000126763     0.0000000000
    0.0000182745     1.7500000000    -0.0000127908     0.0000000000
    0.0000184397     1.7500000000    -0.0000129064     0.0000000000
    0.0000186064     1.7500000000    -0.0000130231     0.0000000000
    0.0000187746     1.7500000000    -0.0000131408     0.0000000000
    0.0000189443     1.7500000000    -0.0000132596     0.0000000000
    0.0000191156     1.7500000000    -0.0000133794     0.0000000000
    0.0000192884     1.7500000000    -0.0000135004     0.0000000000
    0.0000194627     1.7500000000    -0.0000136224     0.0000000000
    0.0000196387     1.7500000000    -0.0000137455     0.0000000000
    0.0000198162     1.7500000000    -0.0000138697     0.0000000000
    0.0000199953     1.7500000000    -0.0000139951     0.0000000000
    0.0000201761     1.7500000000    -0.0000141216     0.0000000000
    0.0000203584     1.7500000000    -0.0000142492     0.0000000000
    0.0000205425     1.7500000000    -0.0000143780     0.0000000000
    0.0000207282     1.7500000000    -0.0000145080     0.0000000000
    0.0000209155     1.7500000000    -0.0000146391     0.0000000000
    0.0000211046     1.7500000000    -0.0000147714     0.0000000000
    0.0000212954     1.7500000000    -0.0000149049     0.0000000000
    0.0000214879     1.7500000000    -0.0000150397     0.0000000000
    0.0000216821     1.7500000000    -0.0000151756     0.0000000000
    0.0000218781     1.7500000000    -0.0000153128     0.0000000000
    0.0000220759     1.7500000000    -0.0000154512     0.0000000000
    0.0000222754     1.7500000000    -0.0000155908     0.0000000000
    0.0000224768     1.7500000000    -0.0000157317     0.0000000000
    0.0000226800     1.7500000000    -0.0000158739     0.0000000000
    0.0000228850     1.7500000000    -0.0000160174     0.0000000000
    0.0000230918     1.7500000000    -0.0000161622     0.0000000000
    0.0000233006     1.7500000000    -0.0000163083     0.0000000000
    0.0000235112     1.7500000000    -0.0000164557     0.0000000000
