# r [km]         d [g/cm^3]    
  4.15802e-08    1.57679e+12   
  1.30469        1.57552e+12   
  2.17615        1.57427e+12   
  2.67572        1.57288e+12   
  3.13131        1.57046e+12   
  3.65245        1.56764e+12   
  4.25277        1.56355e+12   
  4.93386        1.55849e+12   
  5.71817        1.55163e+12   
  6.63138        1.54218e+12   
  7.69127        1.53055e+12   
  8.91492        1.51402e+12   
  10.3227        1.49401e+12   
  11.9502        1.46698e+12   
  13.8335        1.43148e+12   
  16.0136        1.39056e+12   
  18.4300        1.33555e+12   
  20.8513        1.28673e+12   
  22.9907        1.24341e+12   
  24.8040        1.20237e+12   
  26.8209        1.14002e+12   
  29.3906        1.07082e+12   
  32.1411        1.00214e+12   
  35.8499        8.84973e+11   
  40.0332        8.01575e+11   
  42.2623        7.83201e+11   
  43.0777        7.64316e+11   
  43.8960        7.45978e+11   
  44.7066        7.28085e+11   
  45.5357        7.09552e+11   
  46.3873        6.91315e+11   
  47.2774        6.71570e+11   
  48.2156        6.51504e+11   
  49.1558        6.32370e+11   
  50.0850        6.13763e+11   
  51.0310        5.95320e+11   
  52.0031        5.76272e+11   
  52.9964        5.56868e+11   
  54.0102        5.37372e+11   
  55.0269        5.18723e+11   
  56.0586        5.00579e+11   
  57.1214        4.83017e+11   
  58.1868        4.66318e+11   
  59.2617        4.49441e+11   
  60.3614        4.32462e+11   
  61.4665        4.16070e+11   
  62.5622        3.99757e+11   
  63.6383        3.83832e+11   
  64.7009        3.68380e+11   
  65.7637        3.53613e+11   
  66.8730        3.39188e+11   
  68.0494        3.25274e+11   
  69.2173        3.12545e+11   
  70.3317        3.00939e+11   
  71.3699        2.90584e+11   
  72.3337        2.81008e+11   
  73.3163        2.70638e+11   
  74.3542        2.60342e+11   
  75.3852        2.50839e+11   
  76.3913        2.41327e+11   
  77.3936        2.32425e+11   
  78.3892        2.23778e+11   
  79.3704        2.15817e+11   
  80.3445        2.08367e+11   
  81.3218        2.01017e+11   
  82.3234        1.93720e+11   
  83.3560        1.85977e+11   
  84.4106        1.78587e+11   
  85.4900        1.71466e+11   
  86.5866        1.64213e+11   
  87.6977        1.57847e+11   
  88.8175        1.51306e+11   
  89.9427        1.45306e+11   
  91.0724        1.39721e+11   
  92.2070        1.33301e+11   
  93.3575        1.28034e+11   
  94.5249        1.21923e+11   
  95.7192        1.16239e+11   
  96.9472        1.11031e+11   
  98.2012        1.02703e+11   
  99.5084        9.60322e+10   
  100.873        9.20163e+10   
  102.257        8.84414e+10   
  103.635        8.50925e+10   
  104.972        8.20596e+10   
  106.255        7.92440e+10   
  107.573        7.62437e+10   
  108.975        7.29971e+10   
  110.372        6.99211e+10   
  111.748        6.70126e+10   
  113.143        6.43356e+10   
  114.554        6.18108e+10   
  115.983        5.94045e+10   
  117.411        5.70645e+10   
  118.836        5.47306e+10   
  120.276        5.24195e+10   
  121.734        5.01776e+10   
  123.216        4.79774e+10   
  124.727        4.59008e+10   
  126.257        4.39824e+10   
  127.801        4.22234e+10   
  129.350        4.05661e+10   
  130.908        3.89664e+10   
  132.486        3.73606e+10   
  134.078        3.58012e+10   
  135.717        3.42637e+10   
  137.424        3.28112e+10   
  139.130        3.14256e+10   
  140.817        2.99644e+10   
  142.607        2.83621e+10   
  144.537        2.69709e+10   
  146.463        2.57789e+10   
  148.351        2.46291e+10   
  150.240        2.34626e+10   
  152.098        2.23009e+10   
  153.904        2.12801e+10   
  155.649        2.04447e+10   
  157.346        1.96974e+10   
  159.102        1.89840e+10   
  160.984        1.82623e+10   
  162.869        1.76493e+10   
  164.777        1.69928e+10   
  166.776        1.62624e+10   
  168.718        1.54965e+10   
  170.563        1.47489e+10   
  172.387        1.40985e+10   
  174.235        1.35121e+10   
  176.125        1.29248e+10   
  178.034        1.21720e+10   
  179.952        1.13959e+10   
  181.870        1.09165e+10   
  183.779        1.05112e+10   
  185.733        1.01117e+10   
  187.757        9.67210e+09   
  189.794        9.26428e+09   
  191.854        8.88342e+09   
  193.967        8.52386e+09   
  196.110        8.19758e+09   
  198.280        7.91159e+09   
  200.471        7.65826e+09   
  202.676        7.42186e+09   
  204.900        7.17476e+09   
  207.144        6.89838e+09   
  209.419        6.58863e+09   
  211.741        6.26643e+09   
  214.117        5.97917e+09   
  216.803        5.68185e+09   
  219.858        5.37543e+09   
  222.861        5.09462e+09   
  225.768        4.83379e+09   
  228.736        4.60035e+09   
  231.763        4.37276e+09   
  234.847        4.14905e+09   
  237.994        3.94389e+09   
  241.203        3.75395e+09   
  244.470        3.56794e+09   
  247.803        3.38635e+09   
  251.203        3.21158e+09   
  254.675        3.04904e+09   
  258.216        2.89710e+09   
  261.825        2.75446e+09   
  265.499        2.62179e+09   
  269.236        2.49272e+09   
  273.042        2.36558e+09   
  276.921        2.24273e+09   
  280.879        2.12506e+09   
  284.919        2.01608e+09   
  289.035        1.91506e+09   
  293.226        1.81998e+09   
  297.490        1.72684e+09   
  301.835        1.63787e+09   
  306.261        1.55407e+09   
  310.734        1.47700e+09   
  315.194        1.40493e+09   
  319.587        1.34022e+09   
  323.884        1.27674e+09   
  328.097        1.21900e+09   
  332.254        1.16551e+09   
  336.392        1.11505e+09   
  340.571        1.06510e+09   
  344.793        1.01849e+09   
  349.178        9.71469e+08   
  353.796        9.28720e+08   
  358.379        8.89343e+08   
  362.874        8.52302e+08   
  367.379        8.16104e+08   
  372.189        7.77823e+08   
  377.431        7.41781e+08   
  382.629        7.11972e+08   
  387.691        6.80543e+08   
  392.839        6.49512e+08   
  398.091        6.17559e+08   
  403.324        5.89181e+08   
  408.640        5.62179e+08   
  414.158        5.38432e+08   
  419.898        5.14411e+08   
  425.906        4.92964e+08   
  431.946        4.70185e+08   
  438.053        4.47707e+08   
  444.323        4.24257e+08   
  450.693        4.03656e+08   
  457.216        3.84473e+08   
  463.768        3.68794e+08   
  470.282        3.51636e+08   
  476.811        3.35229e+08   
  483.486        3.17238e+08   
  490.280        3.02421e+08   
  496.711        2.89779e+08   
  502.698        2.79431e+08   
  508.617        2.67648e+08   
  514.666        2.55634e+08   
  520.898        2.43631e+08   
  527.159        2.34129e+08   
  533.440        2.25611e+08   
  539.853        2.17501e+08   
  546.649        2.07104e+08   
  553.976        1.94134e+08   
  561.353        1.79010e+08   
  568.604        1.65692e+08   
  575.898        1.57666e+08   
  583.223        1.50704e+08   
  590.590        1.44573e+08   
  597.968        1.39167e+08   
  605.432        1.33800e+08   
  612.904        1.29232e+08   
  620.521        1.24531e+08   
  628.555        1.19537e+08   
  636.532        1.15168e+08   
  644.156        1.11475e+08   
  651.522        1.07829e+08   
  658.745        1.04446e+08   
  666.081        1.00934e+08   
  673.491        9.70946e+07   
  680.871        9.35614e+07   
  688.309        9.02101e+07   
  695.817        8.72742e+07   
  703.399        8.44407e+07   
  711.037        8.17948e+07   
  721.631        7.71346e+07   
  735.736        7.26228e+07   
  747.906        6.96817e+07   
  757.500        6.68723e+07   
  767.029        6.42633e+07   
  776.522        6.19180e+07   
  785.888        5.97901e+07   
  795.128        5.77093e+07   
  804.230        5.57885e+07   
  813.237        5.38219e+07   
  822.477        5.21184e+07   
  832.130        5.02355e+07   
  842.506        4.83547e+07   
  853.902        4.46774e+07   
  865.469        4.27167e+07   
  876.590        4.12299e+07   
  888.011        3.91283e+07   
  900.370        3.72377e+07   
  913.338        3.56678e+07   
  926.561        3.39362e+07   
  940.043        3.28626e+07   
  953.731        3.11495e+07   
  967.553        2.87982e+07   
  981.515        2.62992e+07   
  995.650        2.44368e+07   
  1009.96        2.35179e+07   
  1024.45        2.29792e+07   
  1039.13        2.22726e+07   
  1053.98        2.15567e+07   
  1068.98        2.08957e+07   
  1084.14        2.02875e+07   
  1099.47        1.96064e+07   
  1114.99        1.89630e+07   
  1130.73        1.83834e+07   
  1146.64        1.78291e+07   
  1162.73        1.73062e+07   
  1179.01        1.67640e+07   
  1195.45        1.63134e+07   
  1212.08        1.58041e+07   
  1228.87        1.54088e+07   
  1245.79        1.50215e+07   
  1262.82        1.47007e+07   
  1279.95        1.42976e+07   
  1297.20        1.39667e+07   
  1314.57        1.36360e+07   
  1332.04        1.33579e+07   
  1349.58        1.30826e+07   
  1367.18        1.28337e+07   
  1384.84        1.25458e+07   
  1402.58        1.22902e+07   
  1420.42        1.20372e+07   
  1438.33        1.18019e+07   
  1456.32        1.15468e+07   
  1474.41        1.13061e+07   
  1492.60        1.10933e+07   
  1510.86        1.08730e+07   
  1529.20        1.06705e+07   
  1547.62        1.04643e+07   
  1566.11        1.02757e+07   
  1584.68        1.00846e+07   
  1603.33        9.88492e+06   
  1622.07        9.69125e+06   
  1640.91        9.50200e+06   
  1659.86        9.29428e+06   
  1678.94        9.12208e+06   
  1698.12        8.94108e+06   
  1717.41        8.77260e+06   
  1736.81        8.57467e+06   
  1756.36        8.39388e+06   
  1776.06        8.20864e+06   
  1795.92        8.01699e+06   
  1815.96        7.83209e+06   
  1836.17        7.69437e+06   
  1856.48        7.54293e+06   
  1876.91        7.38558e+06   
  1897.49        7.20772e+06   
  1918.26        7.03443e+06   
  1939.24        6.86586e+06   
  1960.44        6.69848e+06   
  1981.84        6.54612e+06   
  2003.44        6.39748e+06   
  2025.23        6.22848e+06   
  2047.28        6.05690e+06   
  2069.62        5.87093e+06   
  2092.31        5.68374e+06   
  2115.35        5.50744e+06   
  2138.76        5.33768e+06   
  2162.50        5.19380e+06   
  2186.54        5.04175e+06   
  2210.88        4.89824e+06   
  2235.55        4.74612e+06   
  2260.57        4.60046e+06   
  2285.98        4.45144e+06   
  2311.78        4.31107e+06   
  2337.98        4.17034e+06   
  2364.60        4.03638e+06   
  2391.62        3.91435e+06   
  2419.02        3.79729e+06   
  2446.77        3.68245e+06   
  2474.88        3.57637e+06   
  2503.33        3.47660e+06   
  2532.12        3.36873e+06   
  2561.11        3.23094e+06   
  2590.12        3.14377e+06   
  2619.28        3.06121e+06   
  2648.76        2.97052e+06   
  2678.61        2.87782e+06   
  2708.87        2.78748e+06   
  2739.56        2.69967e+06   
  2770.66        2.61349e+06   
  2802.18        2.53632e+06   
  2834.08        2.46292e+06   
  2866.30        2.39558e+06   
  2898.86        2.32240e+06   
  2931.78        2.25362e+06   
  2965.10        2.18265e+06   
  2998.81        2.12066e+06   
